time (m),loss,train accuracy,val accuracy
44.535746137301125,1728.148350782314,0.7399673461914062,0.7571801543235779
83.91967655420304,1243.9851135268618,0.8274062275886536,0.8198433518409729
127.4593229452769,1112.6411980041303,0.8518760204315186,0.8694517016410828
197.3768639643987,962.9832990074628,0.8694943189620972,0.7571801543235779
272.85603206157685,813.4244390221484,0.8923327922821045,0.8642297387123108
323.5276037772497,779.144091295344,0.896900475025177,0.8825065493583679
373.97895419597626,684.1854699195418,0.906688392162323,0.8668407201766968
467.4804835438728,652.7678829737456,0.9135399460792542,0.8929504156112671
521.431167991956,578.1683687160457,0.9259380102157593,0.8851174712181091
565.3361596783002,522.2374132644953,0.9357259273529053,0.8981723189353943
608.0942909081776,503.17888732926275,0.9367047548294067,0.9060052037239075
670.7687335968018,479.30419480032685,0.9383360743522644,0.8798955678939819
