time (m),loss,train accuracy,val accuracy
79.18034264643987,1167.355409459793,0.8296900391578674,0.4934725761413574
140.63047939141592,852.6827266543696,0.8861337900161743,0.5195822715759277
179.72130441268285,685.0722200933305,0.9053833484649658,0.7127937078475952
217.98968249162039,543.894248693292,0.9272430539131165,0.8302872180938721
256.0266380270322,475.8223382036376,0.9380097985267639,0.8302872180938721
317.5375811338425,351.134353121049,0.955301821231842,0.6579634547233582
356.28369058767953,298.44333657996367,0.9608482718467712,0.6318537592887878
403.5488024711609,200.55731466618988,0.9774877429008484,0.6631853580474854
433.2953920006752,186.1743118177349,0.9774877429008484,0.5691906213760376
453.9046799778938,145.94966967557207,0.985318124294281,0.7127937078475952
472.7788720210393,118.13796747148825,0.9872757196426392,0.6788511872291565
491.299243803819,86.46129938883811,0.9908645749092102,0.6631853580474854
