time (m),loss,train accuracy,val accuracy
50.1244434595108,1661.1302239133174,0.7504078149795532,0.7885117530822754
92.21618597507477,1207.6628042669072,0.8352365493774414,0.8381201028823853
141.42993135054905,991.4147333436986,0.8685154914855957,0.8694517016410828
219.97767682472866,873.044984802219,0.88646000623703,0.8511749505996704
293.17456502517064,729.4669510609177,0.902446985244751,0.9033942818641663
346.65543930927913,675.6074533122926,0.9151712656021118,0.8903394341468811
419.85560621023177,595.5758867828833,0.9230016469955444,0.9033942818641663
502.83535853624346,557.9740317517878,0.9331158399581909,0.9007833003997803
552.094381761551,482.9963803685406,0.9402936100959778,0.9060052037239075
598.3153510729472,430.94158273094774,0.9507340788841248,0.9112271666526794
654.609876358509,359.42628316152144,0.9582381844520569,0.9086161851882935
715.5257833361626,349.9551412539591,0.9611745476722717,0.8955613374710083
