time (m),loss,train accuracy,val accuracy
57.11156088908513,1186.9008928048424,0.8238173127174377,0.8798955678939819
96.16989957888921,874.5811739685014,0.8792822360992432,0.8955613374710083
134.36331252654392,702.095051427721,0.907993495464325,0.9138381481170654
173.7113251288732,580.3262057485408,0.9259380102157593,0.8955613374710083
235.9035284837087,466.51329923258163,0.9406198859214783,0.9007833003997803
274.71965026458105,374.0849211161549,0.9562805891036987,0.9242819547653198
322.0703786889712,297.235558608616,0.9641109108924866,0.9268929362297058
348.5567979375521,198.12158964524224,0.9774877429008484,0.942558765411377
369.2554887215296,152.14880303249606,0.9810766577720642,0.8929504156112671
387.82538070281345,133.89632899868047,0.9856444001197815,0.9164490699768066
405.78239701986314,124.99599146006813,0.9843392968177795,0.9164490699768066
420.96152809858324,90.46750995105583,0.990212082862854,0.9295039176940918
