time (m),loss,train accuracy,val accuracy
60.71722982724508,931.7704433199642,0.7839607000350952,0.8041775226593018
113.17250649929046,666.4167537530149,0.8559738397598267,0.8616188168525696
164.03387380838393,609.839973639217,0.8685215711593628,0.8433420658111572
214.9816915035248,511.2391031246093,0.8816148638725281,0.8981723189353943
266.2691171248754,421.39414761086095,0.9039825201034546,0.8877284526824951
317.9957964142164,302.9578996508884,0.9350790977478027,0.9164490699768066
368.1291309475899,346.40684632934256,0.926895797252655,0.9033942818641663
417.06237225532533,220.52866358664588,0.9530823826789856,0.8590078353881836
452.1828632235527,216.7034489315311,0.9569012522697449,0.9164490699768066
479.00229151646295,174.78291483004068,0.9639934301376343,0.9060052037239075
504.9578916708628,141.18289805995988,0.972176730632782,0.8955613374710083
530.8652828772863,128.06897700564008,0.9765411615371704,0.9268929362297058
