time (m),loss,train accuracy,val accuracy
35.926677358150485,849.816434878041,0.7883251309394836,0.8642297387123108
65.51025700171789,651.8332885073905,0.8472449779510498,0.8642297387123108
92.37141896088919,561.3196620250237,0.8728860020637512,0.9033942818641663
117.88968006372451,489.73749738154584,0.8919803500175476,0.8929504156112671
144.0410614212354,438.79646819210757,0.9121658205986023,0.9216710329055786
180.08694355090458,398.6973846784167,0.9067103266716003,0.9242819547653198
231.07162663141887,362.75668142954237,0.9225313663482666,0.9268929362297058
287.6383559942245,299.99693419354526,0.9394435286521912,0.9268929362297058
322.7295426686605,280.5143760997398,0.9410802125930786,0.9242819547653198
355.85269515514375,247.93641426107467,0.9470812678337097,0.9216710329055786
386.3435467243195,231.43639547798955,0.9519912600517273,0.9112271666526794
437.62723097403847,195.1601616850216,0.9612656831741333,0.934725821018219
