time (m),loss,train accuracy,val accuracy
30.507710989316305,883.2479951593268,0.7790507078170776,0.8015666007995605
53.435911269982654,601.7803326199519,0.8587015867233276,0.8459529876708984
71.31035124063492,557.8490673625047,0.8783414959907532,0.8276762366294861
90.16533519824345,430.16874151619686,0.9061647653579712,0.8877284526824951
105.13341573079427,365.4809235219518,0.9187124967575073,0.8955613374710083
122.1862205783526,342.90514554110655,0.9208946824073792,0.8851174712181091
142.0309111515681,261.36769483435467,0.945444643497467,0.8798955678939819
158.62629456917446,215.47630782574166,0.9541735053062439,0.8929504156112671
186.67820837100348,179.46824451750174,0.9629023671150208,0.9216710329055786
222.79660736719768,165.85493450733475,0.9661756753921509,0.8981723189353943
235.5540355881055,126.6035628139517,0.975995659828186,0.9216710329055786
244.61543631951014,122.60417292494377,0.9770867228507996,0.9242819547653198
