time (m),loss,train accuracy,val accuracy
13.593628517786662,1136.5087136127986,0.6590288877487183,0.7493472695350647
29.302700289090474,874.0208567014197,0.7834151387214661,0.7885117530822754
43.98759564956029,762.9360452211695,0.8025095462799072,0.7780678868293762
58.592346000671384,754.4586188546964,0.807965099811554,0.8067885041236877
72.97300571600596,681.3754499592469,0.8434260487556458,0.8328981995582581
87.24151731332144,641.449725490238,0.8510638475418091,0.8407310843467712
101.36421627203623,586.4753156040242,0.8537915945053101,0.8381201028823853
116.10748475790024,564.2863939387462,0.8690671324729919,0.8146213889122009
130.62950909932454,577.740068937459,0.8723404407501221,0.8459529876708984
144.45927631060283,536.693847539449,0.8723404407501221,0.8120104670524597
157.839813152949,553.7359227385241,0.8674304485321045,0.8511749505996704
171.25969533522922,490.9807174745365,0.8876159191131592,0.8485639691352844
