time (m),loss,train accuracy,val accuracy
9.460644133885701,1335.201186963357,0.7843393087387085,0.8563968539237976
17.414944132169087,938.6966226412915,0.8694942593574524,0.8903394341468811
25.328610769907634,829.7469796581427,0.8887438774108887,0.8746736645698547
33.282194113731386,731.6530692579108,0.9001631140708923,0.8851175308227539
41.22819412549337,649.3986273304035,0.9119086265563965,0.9060052633285522
49.14102744658788,595.9873330124537,0.9174551367759705,0.8825065493583679
57.0865107734998,511.3963481190294,0.9337683320045471,0.9060052633285522
65.16318823099137,468.9296255505906,0.9402936100959778,0.9007833003997803
73.32841592232386,402.50390478080226,0.9500815868377686,0.9268929362297058
81.71188465754192,365.97896835376923,0.9536704421043396,0.9321148991584778
89.89003655513127,322.2342393532681,0.9598695039749146,0.9216710329055786
97.7973021586736,291.31631503170365,0.9611745476722717,0.9268929362297058
105.7018287539482,246.22096716125873,0.9716150164604187,0.8903394341468811
113.58843733867009,208.08990260739708,0.9745513796806335,0.9138381481170654
121.4816464304924,212.61557154767885,0.9732463359832764,0.9503916501998901
130.39552241563797,180.822137728891,0.9771614670753479,0.9295039176940918
141.7134604136149,157.05091005128514,0.9830342531204224,0.9477806687355042
152.94425974289575,159.37757633578988,0.9823817014694214,0.9086161851882935
162.6212516029676,124.62052136638498,0.9843392968177795,0.9295039176940918
169.28588049411775,125.13049774080368,0.9843392968177795,0.9112271666526794
174.2211372812589,107.07555354846042,0.9898858070373535,0.937336802482605
